instance_name,experiment,config,time_limit_seconds,status,obj,best_bound,gap_pct,milp_time,n_nodes,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_19,WCT,NOPSOS-noSBS-symOFF,300,limit,1171.9999870586457,748.5217391304,36.133,299.625,181457,,15,16,150
synth_19,FEAS,NOPSOS+DFA,300,infeasible,,,,37.25,5632,28.5,15,16,150
synth_19,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,8.265625,2114,28.5,15,16,150
synth_19,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,8.21875,2114,28.5,15,16,150
synth_20,WCT,NOPSOS+DFA,300,limit,1327.0,821.7909259599,38.0715,299.703125,726,,20,21,258
synth_20,WCT,NOPSOS-noSBS-symON,300,limit,1265.9978580988827,776.0,38.7045,299.65625,42648,,20,21,258
synth_20,WCT,NOPSOS-noSBS-symOFF,300,limit,1265.999995060241,776.0,38.7046,299.640625,44195,,20,21,258
synth_20,FEAS,NOPSOS+DFA,300,infeasible,,,,0.75,1,27.5,20,21,258
synth_20,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.3125,1,27.5,20,21,258
synth_20,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.296875,1,27.5,20,21,258
synth_21,WCT,NOPSOS+DFA,300,limit,712.0,524.9443881365,26.2719,299.71875,10202,,17,18,185
synth_21,WCT,NOPSOS-noSBS-symON,300,limit,702.9999877685333,501.0,28.734000000000005,299.65625,125895,,17,18,185
synth_21,WCT,NOPSOS-noSBS-symOFF,300,limit,703.0,491.3333333333,30.109099999999998,299.75,134584,,17,18,185
synth_21,FEAS,NOPSOS+DFA,300,infeasible,,,,103.640625,3601,21.5,17,18,185
synth_21,FEAS,NOPSOS-noSBS-symON,300,limit,,,,299.609375,92756,21.5,17,18,185
synth_21,FEAS,NOPSOS-noSBS-symOFF,300,limit,,,,299.59375,99671,21.5,17,18,185
synth_22,WCT,NOPSOS+DFA,300,limit,1422.0,948.1974369464,33.3194,299.703125,4128,,18,19,211
synth_22,WCT,NOPSOS-noSBS-symON,300,limit,1418.0,938.0000000005,33.8505,299.75,96919,,18,19,211
synth_22,WCT,NOPSOS-noSBS-symOFF,300,limit,1418.0,938.0000000002,33.8505,299.625,99586,,18,19,211
synth_23,WCT,NOPSOS+DFA,300,limit,1384.0,811.0862612056,41.3955,299.59375,760,,21,22,280
synth_23,WCT,NOPSOS-noSBS-symON,300,limit,1320.0,768.0,41.8182,299.609375,40808,,21,22,280
synth_23,WCT,NOPSOS-noSBS-symOFF,300,limit,1320.0,768.0000000064,41.8182,299.546875,43039,,21,22,280
synth_24,WCT,NOPSOS+DFA,300,limit,2173.0,1394.189622577,35.8403,299.59375,638,,22,23,310
synth_24,WCT,NOPSOS-noSBS-symON,300,limit,2092.0,1365.0,34.7514,299.671875,27159,,22,23,310
synth_24,WCT,NOPSOS-noSBS-symOFF,300,limit,2091.999993840909,1365.0,34.7514,299.671875,30551,,22,23,310
synth_25,WCT,NOPSOS+DFA,300,limit,1237.0,898.6690393212,27.3509,299.796875,2109,,19,20,229
synth_25,WCT,NOPSOS-noSBS-symON,300,limit,1197.999974222168,835.0000000001,30.300499999999996,299.59375,77564,,19,20,229
synth_25,WCT,NOPSOS-noSBS-symOFF,300,limit,1197.9999655677052,835.0000000001,30.300499999999996,299.59375,82234,,19,20,229
synth_25,FEAS,NOPSOS+DFA,300,infeasible,,,,0.59375,1,31.5,19,20,229
synth_25,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.25,1,31.5,19,20,229
synth_25,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.25,1,31.5,19,20,229
synth_26,WCT,NOPSOS+DFA,300,limit,1322.0,1049.488625969,20.6136,300.6875,10253,,17,18,183
synth_26,WCT,NOPSOS-noSBS-symON,300,limit,1321.9999981984556,963.0,27.155799999999996,299.65625,130189,,17,18,183
synth_26,WCT,NOPSOS-noSBS-symOFF,300,limit,1321.9999101263134,963.0,27.155799999999996,299.390625,129300,,17,18,183
synth_26,FEAS,NOPSOS+DFA,300,infeasible,,,,0.40625,1,32.5,17,18,183
synth_26,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.140625,1,32.5,17,18,183
synth_26,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.140625,1,32.5,17,18,183
synth_27,WCT,NOPSOS+DFA,300,limit,1791.0,1036.000000009,42.1552,299.578125,579,,26,27,422
synth_27,WCT,NOPSOS-noSBS-symON,300,limit,1564.9999730866534,1036.000000003,33.8019,299.828125,8870,,26,27,422
synth_27,WCT,NOPSOS-noSBS-symOFF,300,limit,1565.0,1036.000000032,33.8019,299.84375,10202,,26,27,422
synth_28,WCT,NOPSOS+DFA,300,limit,1688.999997923077,1034.011680194,38.7797,299.703125,616,,24,25,357
synth_28,WCT,NOPSOS-noSBS-symON,300,limit,1679.0,980.0,41.6319,299.5,28275,,24,25,357
synth_28,WCT,NOPSOS-noSBS-symOFF,300,limit,1680.0,980.0,41.6667,299.859375,30606,,24,25,357
synth_28,FEAS,NOPSOS+DFA,300,infeasible,,,,262.96875,1770,30.5,24,25,357
synth_28,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,6.734375,1188,30.5,24,25,357
synth_28,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,6.5,1312,30.5,24,25,357
synth_29,WCT,NOPSOS+DFA,300,limit,1049.0,765.0588235866,27.0678,299.765625,689,,24,25,358
synth_29,WCT,NOPSOS-noSBS-symON,300,limit,1034.0,750.0,27.4662,299.421875,23242,,24,25,358
synth_29,WCT,NOPSOS-noSBS-symOFF,300,limit,1033.999995206995,750.0000000001,27.4662,299.546875,22425,,24,25,358
synth_29,FEAS,NOPSOS+DFA,300,infeasible,,,,1.34375,1,27.5,24,25,358
synth_29,FEAS,NOPSOS-noSBS-symON,300,infeasible,,,,0.359375,1,27.5,24,25,358
synth_29,FEAS,NOPSOS-noSBS-symOFF,300,infeasible,,,,0.359375,1,27.5,24,25,358
synth_30,WCT,NOPSOS+DFA,300,limit,1828.0,1158.647758663,36.6166,299.546875,616,,23,24,332
synth_30,WCT,NOPSOS-noSBS-symON,300,limit,1739.0,1143.000000001,34.2726,299.609375,34901,,23,24,332
synth_30,WCT,NOPSOS-noSBS-symOFF,300,limit,1739.0,1143.000000003,34.2726,299.640625,22904,,23,24,332
