instance_name,config,objective,seed,status,obj,best_bound,gap_pct,time,n_nodes,lp_bound,root_relax,n_sbs_rows,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_13,dfa,wct,3,solved,544.0,544.0,0.0,113.8125,16655,427.0,427.0,,,14,15,129
synth_13,dfa,wct,4,limit,544.0,482.3133553467,11.3395,119.734375,14851,427.0,427.0,,,14,15,129
synth_13,pairwise,wct,0,solved,544.0,543.9980428189,0.00039999999999999996,81,22993,427.0,427.0,1053,,14,15,129
synth_13,pairwise,wct,1,solved,544.0,544.0,0.0,88.875,23805,427.0,427.0,1053,,14,15,129
synth_13,pairwise,wct,2,solved,544.0,544.0,0.0,77.4375,16852,427.0,427.0,1053,,14,15,129
synth_13,pairwise,wct,3,solved,544.0,544.0,0.0,78.84375,19791,427.0,427.0,1053,,14,15,129
synth_13,pairwise,wct,4,solved,544.0,543.9523327547,0.0088,39.15625,9981,427.0,427.0,1053,,14,15,129
synth_13,nosbs-off,wct,0,limit,543.9999901453297,427.3403516695,21.4448,119.703125,70167,427.0,427.0,,,14,15,129
synth_13,nosbs-off,wct,1,limit,543.999908501934,427.0,21.5073,119.6875,78158,427.0,427.0,,,14,15,129
synth_13,nosbs-off,wct,2,limit,543.99999,427.045112782,21.4991,119.84375,85984,427.0,427.0,,,14,15,129
synth_13,nosbs-off,wct,3,limit,543.9999795000053,427.0000000001,21.5073,119.78125,81536,427.0,427.0,,,14,15,129
synth_13,nosbs-off,wct,4,limit,543.9999979999998,427.0,21.5074,119.71875,86532,427.0,427.0,,,14,15,129
synth_18,dfa,wct,0,limit,976.0,717.7931092241,26.4556,119.765625,11692,695.9999999999984,696.0,,,14,15,129
synth_18,dfa,wct,1,limit,976.0,718.4403032432,26.3893,119.75,10955,695.9999999999984,696.0,,,14,15,129
synth_18,dfa,wct,2,limit,976.0,714.0,26.844299999999997,119.921875,10202,695.9999999999984,696.0,,,14,15,129
synth_18,dfa,wct,3,limit,976.0,715.0016128297,26.7416,119.8125,11664,695.9999999999984,696.0,,,14,15,129
synth_18,dfa,wct,4,limit,976.0,716.4134879768,26.597000000000005,119.765625,11619,695.9999999999984,696.0,,,14,15,129
synth_18,pairwise,wct,0,limit,976.0,733.4884773479,24.8475,119.734375,22760,695.9999999999999,696.0,1053,,14,15,129
synth_18,pairwise,wct,1,limit,976.0,775.4902036874,20.544,119.875,26184,695.9999999999999,696.0,1053,,14,15,129
synth_18,pairwise,wct,2,limit,975.9999754999982,775.1060044462,20.5834,119.671875,28038,695.9999999999999,696.0,1053,,14,15,129
synth_18,pairwise,wct,3,limit,976.0,782.7350428202,19.8017,119.78125,25875,695.9999999999999,696.0,1053,,14,15,129
synth_18,pairwise,wct,4,limit,976.0,772.0,20.9016,119.71875,21689,695.9999999999999,696.0,1053,,14,15,129
synth_18,nosbs-off,wct,0,limit,975.9999806799992,738.0,24.3852,119.71875,131457,696.0,696.0,,,14,15,129
synth_18,nosbs-off,wct,1,limit,975.9972580156922,696.0,28.688299999999998,119.625,94195,696.0,696.0,,,14,15,129
synth_18,nosbs-off,wct,2,limit,975.9999958240552,734.6666666667,24.7268,119.8125,107757,696.0,696.0,,,14,15,129
synth_18,nosbs-off,wct,3,limit,975.9999074726928,716.0,26.6393,119.890625,99582,696.0,696.0,,,14,15,129
synth_18,nosbs-off,wct,4,limit,975.9999911787319,716.0,26.6393,119.8125,95106,696.0,696.0,,,14,15,129
synth_25,dfa,wct,0,limit,1237.0,835.000000001,32.498,119.828125,1109,835.0000000000002,835.0,,,19,20,229
synth_25,dfa,wct,1,limit,1198.0,835.0000000102,30.300499999999996,119.796875,1324,835.0000000000002,835.0,,,19,20,229
synth_25,dfa,wct,2,limit,1216.0,835.0000000049,31.3322,119.828125,846,835.0000000000002,835.0,,,19,20,229
synth_25,dfa,wct,3,limit,1216.0,835.0000000081,31.3322,119.78125,1305,835.0000000000002,835.0,,,19,20,229
synth_25,dfa,wct,4,limit,1216.0,835.0000000074,31.3322,119.796875,822,835.0000000000002,835.0,,,19,20,229
